"survey_year","respondent_no","응답코드","패널코드","성별","나이","세대","거주 지역(상세)","거주 지역","사업장 인원","사업장 지역","업종","업종__기타_텍스트","기업 유형","기업 유형__기타_텍스트","직책","총 경력","현 직장 재직 기간","직무","직무__기타_텍스트","사무실 출근일수","업무 특성 (독립/협업)","업무 특성 (정형/창의)","리더 유형 (관리/위임) (본인)","리더 유형 (관리/위임) (직속 리더)","업무 시간의 자율성","업무 장소의 자율성","업무 프로세스의 자율성","협업 대상의 자율성","목표 설정의 자율성","혼자서 주어진 업무 빠르게 처리하기","혼자서 창의적인 아이디어 구상하기","혼자서 복잡한 내용 분석하고 정리하기","혼자서 기분 전환/휴식을 위해 리프레시하기","리더에게 업무 보고하기","리더와 자유롭게 논의하기","리더와 편안한 스몰 토크 나누기","리더와 업무 관련 1:1 대화 나누기","팀원(들)에게 업무 공유하기","팀원(들)과 자유롭게 논의하기","팀원(들)과 편안한 스몰 토크 나누기","팀원과 업무 관련 1:1 대화 나누기","팀원 외 구성원과 편안한 스몰 토크 나누기","팀원 외 구성원과 업무 관련 1:1 대화 나누기","팀원 외 구성원과 만나는 이벤트/행사 참석하기","주의 (Attentive)","흥미 (Interested)","열정 (Enthusiastic)","영감 (Inspired)","활기 (Active)","괴로움 (Distressed)","분노 (Upset)","짜증 (Irritable)","두려움 (Afraid)","긴장 (Nervous)","자리를 떠나 일해도 되는 분위기","다양성이 존중되는 분위기","개인의 상황을 배려하는 분위기","수평적으로 소통하는 분위기","정제되지 않은 생각부터 나누는 분위기","문제를 솔직하게 꺼내는 분위기","서로 친하게 지내는 분위기","목표와 방향을 맞춰 가는 분위기","전문성과 강점을 신뢰하는 분위기","조직의 핵심 가치/비전을 알고 있음","조직의 핵심 가치/비전에 공감함","조직의 핵심 가치/비전을 실천하고 있음","의미-1","의미-2","의미-3","유능성-1","유능성-2","유능성-3","자기결정감-1","자기결정감-2","자기결정감-3","영향력-1","영향력-2","영향력-3","의미 평균","유능성 평균","자기결정감 평균","영향력 평균","심리적 임파워먼트 평균","현재 좌석 운영 방식 (고정/자율)","현재 좌석 운영 방식 (고정/자율)__기타_텍스트","선호하는 좌석 운영 방식 (고정/자율)","선호하는 좌석 운영 방식 (고정/자율)__기타_텍스트","개인 좌석 - 주변 시선 차단 여부","개인 좌석 - 주변 소음 차단 여부","개인 좌석 - 책상/의자 조절 가능 여부","개인 좌석 - 자연광 접촉 가능 여부","업무층 환경 - 밀도가 적절한가","업무층 환경 - 조도/밝기가 적절한가","업무층 환경 - 식물/플랜테리어가 조성되어 있는가","업무층 환경 - 좌석 형태/구성이 다양한가","직원들과 가까운 곳에 있는가","직원들에게 시각적으로 열려 있는가","회의 가구나 장비가 있는가","위계감을 덜어주는 편안한 분위기인가","소규모 회의 공간(2-4인 규모)이 적절히 계획됐는가","중규모 회의 공간(5-8인 규모)이 적절히 계획됐는가","대규모 회의 공간(9인 이상)이 적절히 계획됐는가","아이디어를 그림/판서로 표현할 수 있는가","긴장감을 덜어주는 편안한 분위기인가","예약 없이 사용할 수 있는 회의 공간이 있는가","그룹(팀/TF) 전용 협업 공간이 있는가","라운지 계획 여부","다양한 사람이 접근하기 쉬운 위치에 있는가","커피, 간식 등 식음 요소가 있는가","다인원 이벤트/행사를 할 수 있는가","주변 시선/소음이 가려지는 대화 공간이 있는가","심미적으로 아름답게 디자인되어 있는가","회사의 아이덴티티를 느낄 수 있는가","자리를 떠나 일할 수 있는 ‘프라이빗한’ 공간이 있는가","자리를 떠나 일할 수 있는 ‘오픈된’ 공간이 있는가","개인 휴식 공간","옥외 공간 (테라스, 산책로 등)","조직 문화를 반영한 오피스의 긍정적 효과","조직 문화를 반영한 오피스의 긍정적 효과__회사의 방향성에 구성원의 업무 목표를 연계시키기 용이","조직 문화를 반영한 오피스의 긍정적 효과__회사에 대한 구성원의 신뢰 증진","조직 문화를 반영한 오피스의 긍정적 효과__업무 몰입도 증진","조직 문화를 반영한 오피스의 긍정적 효과__공동체 의식 & 조직 소속감 증진","조직 문화를 반영한 오피스의 긍정적 효과__심리적 안전감 증진","조직 문화를 반영한 오피스의 긍정적 효과__일하는 공간에 대한 구성원들의 만족도 증진","조직 문화를 반영한 오피스의 긍정적 효과__기타 (직접 입력)","조직 문화를 반영한 오피스의 긍정적 효과__기타_텍스트"
"2024","11","id_npml62l9","anon_01K5DAQ4XVGV83AHRT1DGGV0AP","1","38","3","1","1","3","9","9","","2","","3","3","2","12","","6","2","1","","3","5","1","4","1","3","7","3","5","5","5","5","5","4","6","6","4","5","2","1","1","5","3","5","4","5","3","6","6","4","3","2","4","5","5","2","4","4","4","6","3","3","2","5","5","6","7","6","6","5","6","5","6","4","2","5.33","6.33","5.33","4","5.25","1","","1","","1","1","3","3","3","3","3","2","1","5","3","3","4","4","5","1","3","4","4","1","4","4","1","3","3","2","1","3","4","5","3|4","0","0","1","1","0","0","0",""
"2024","12","id_jifu95yb","anon_01K5DAQ4XVZ8K7M15ZKX0AWT5K","2","37","3","1","1","4","2","1","","1","","3","4","2","4","","6","3","3","","4","4","1","3","2","2","5","5","4","2","4","3","4","3","6","6","7","4","3","1","1","6","4","5","2","4","4","5","5","4","5","2","5","4","5","4","5","4","4","5","3","3","3","4","4","5","5","5","5","4","5","5","5","4","5","4.33","5","4.67","4.67","4.67","1","","1","","4","3","4","2","2","2","1","2","4","2","2","2","3","3","3","2","2","2","3","1","2","3","3","2","1","2","2","2","2","2","3|5|6","0","0","1","0","1","1","0",""
"2024","13","id_n84zayf4","anon_01K5DAQ4XV6DZR4MQ3BM1S1SJP","1","24","1","2","2","2","2","6","","1","","3","2","2","2","","6","3","1","","3","4","1","5","2","4","2","1","1","5","6","6","7","7","5","5","7","4","7","6","6","5","5","4","1","7","1","7","7","1","1","7","4","7","6","6","7","6","5","5","3","4","4","2","1","1","7","5","7","6","7","6","4","7","5","1.33","6.33","6.33","5.33","4.83","1","","1","","4","4","4","2","4","5","4","3","4","4","5","5","5","5","5","4","5","5","4","1","4","5","4","4","2","4","4","4","5","4","3|4|6","0","0","1","1","0","1","0",""
"2024","14","id_pvavaycs","anon_01K5DAQ4XVPTYZDJJ7FN8K9499","1","36","3","2","2","4","9","1","","1","","2","4","1","1","","6","3","2","3","","2","1","3","2","3","7","3","7","1","6","2","2","1","2","1","3","1","1","1","1","7","1","4","2","3","7","5","5","7","7","1","1","5","2","5","2","2","2","5","5","5","5","7","6","6","3","7","6","6","6","5","1","4","5","6.33","5.33","5.67","3.33","5.17","1","","1","","2","2","4","4","2","4","4","1","3","4","4","2","2","3","2","3","2","2","3","1","3","2","4","2","2","4","1","2","2","4","5","0","0","0","0","1","0","0",""
"2024","15","id_ca9531eg","anon_01K5DAQ4XVQDW589M1BRA5XTJK","2","41","3","3","2","3","12","3","","2","","3","2","2","13","사무","6","4","2","","4","3","2","2","2","2","7","4","7","4","6","5","7","5","7","5","7","4","1","1","1","5","3","4","3","4","4","5","6","2","4","2","1","4","4","4","3","4","2","1","4","4","4","5","3","4","5","5","5","3","3","2","5","3","4","4","5","2.67","4","3.92","1","","1","","4","4","2","1","1","3","1","1","3","4","4","3","4","4","4","3","3","2","4","1","3","3","3","1","2","3","1","1","1","1","2|4","0","1","0","1","0","0","0",""
"2024","16","id_p5i9vcuu","anon_01K5DAQ4XVNVS0TV5WKAB4PYKK","1","42","3","2","2","3","2","8","","1","","3","4","4","6","","6","5","1","","4","4","1","3","1","1","4","2","6","4","7","5","6","4","7","7","5","4","3","3","2","1","4","2","1","6","1","1","1","1","1","4","6","4","3","5","6","6","7","6","4","4","4","7","6","6","5","6","5","6","4","7","5","5","4","6.33","5.33","5.67","4.67","5.5","1","","2","","5","3","2","4","3","3","2","3","1","5","4","3","1","3","5","3","3","3","2","1","5","3","4","3","3","2","4","2","1","1","1|2|4","1","1","0","1","0","0","0",""
"2024","17","id_i6wwgolc","anon_01K5DAQ4XVSQ4KTJ9PWB8ZKF91","1","53","4","1","1","4","9","1","","1","","2","6","6","13","프로젝트매니저","5","2","2","4","","4","2","4","4","4","6","2","2","6","3","2","2","2","6","5","4","5","2","2","4","6","4","5","2","5","3","2","3","2","4","6","6","6","5","5","5","5","6","5","6","5","5","5","5","5","5","5","5","5","3","5","6","5","5","5","5","4.33","5.33","4.92","1","","1","","2","2","2","4","3","4","2","2","2","4","4","4","4","4","4","4","4","2","4","1","4","4","4","2","3","4","2","4","2","2","3|4|6","0","0","1","1","0","1","0",""
"2024","18","id_fom786nd","anon_01K5DAQ4XVB83BGE5RP8SRQTQ0","1","34","2","1","1","2","9","3","","2","","2","3","3","8","","6","5","2","4","","3","3","3","4","3","5","2","3","3","5","5","4","4","4","3","5","4","4","4","2","5","3","4","2","2","5","6","6","5","5","3","4","4","3","3","3","5","2","3","3","3","2","5","3","3","4","3","5","5","5","4","6","4","5","3.67","4","4.67","5","4.33","1","","1","","5","4","4","2","3","3","3","3","2","3","3","4","3","2","2","3","4","3","3","2","","","","","","","4","4","4","3","2|3|4","0","1","1","1","0","0","0",""
"2024","19","id_q1vnky6b","anon_01K5DAQ4XV2ZNMG3118511P1DS","1","34","2","2","2","2","9","1","","2","","3","3","2","8","","6","3","4","","3","1","4","4","4","3","6","6","6","6","7","5","7","6","5","6","6","5","6","5","6","6","5","6","5","5","5","7","5","5","5","5","4","5","4","4","4","4","4","7","5","4","4","6","5","5","6","5","6","4","5","5","5","5","5","5.33","5.67","4.67","5","5.17","1","","1","","3","3","4","3","3","4","3","3","3","4","4","4","2","3","4","4","4","4","4","1","3","4","4","3","2","2","4","4","3","5","1|4|6","1","0","0","1","0","1","0",""
"2024","20","id_p79dvtv8","anon_01K5DAQ4XVMVYW8HXVXW3A2EP4","1","59","5","1","1","4","9","9","","1","","1","6","2","13","자문","6","5","4","3","","3","3","3","3","3","2","4","4","5","1","5","5","4","5","5","5","5","5","5","5","5","5","4","2","4","1","1","1","2","2","7","7","7","7","7","7","7","7","7","6","6","6","5","5","5","5","7","5","5","5","5","5","5","5","5","5.67","5","5","5.17","1","","1","","5","5","3","3","4","4","4","3","3","3","5","5","5","5","5","5","5","2","3","1","3","3","3","3","3","3","4","4","4","2","2|6","0","1","0","0","0","1","0",""
"2024","21","id_9fpj7nuj","anon_01K5DAQ4XVG65T0VBHNBR2M9DN","1","52","4","12","3","3","8","3","","2","","2","6","6","9","","6","3","2","3","","2","2","2","2","2","5","4","4","5","5","5","4","4","6","5","5","5","5","5","6","5","4","4","4","4","5","5","5","5","5","4","4","4","4","4","4","4","4","4","4","4","4","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","3","","1","","3","3","3","3","3","3","2","2","3","3","3","3","2","3","3","2","3","2","2","1","3","3","2","2","2","2","2","3","2","3","3|4|6","0","0","1","1","0","1","0",""
"2024","22","id_9k3571j0","anon_01K5DAQ4XV1E0262B7QVXARHGM","2","40","3","1","1","3","10","7","","1","","3","4","4","5","","5","3","3","","4","4","4","3","3","3","4","5","5","6","5","6","5","5","5","6","5","5","5","6","6","4","5","4","3","5","4","5","5","4","4","5","5","6","4","5","6","5","5","5","5","5","5","5","5","5","5","6","5","5","5","4","6","4","5","5","5.33","4.67","5","5","2","","2","","3","4","4","3","4","4","4","3","3","4","4","3","4","4","3","3","3","3","3","1","3","4","4","3","4","4","3","4","4","4","2|4|6","0","1","0","1","0","1","0",""
"2024","23","id_fsgpmevr","anon_01K5DAQ4XVJ38NSGJ4EKT01SAW","2","51","4","7","3","2","7","6","","2","","2","6","6","10","","6","1","1","2","","2","2","3","4","4","7","4","5","2","4","5","4","2","7","7","7","5","5","4","3","6","6","6","6","6","6","2","6","2","6","6","6","6","7","7","7","6","6","6","7","7","7","7","7","7","7","7","7","7","5","7","5","7","5","7","7","6.33","5.67","6.5","1","","1","","4","1","1","1","3","3","1","1","2","3","2","3","2","3","2","2","3","2","2","1","3","4","4","3","2","2","1","1","4","3","4","0","0","0","1","0","0","0",""
"2024","24","id_657j1l5x","anon_01K5DAQ4XVYVTG3WDGTMVRT41P","2","34","2","1","1","3","2","10","","2","","2","3","3","7","","6","2","2","5","","4","4","3","2","2","7","3","3","5","7","6","7","7","7","6","7","7","7","7","7","5","5","3","5","4","3","5","4","5","5","5","5","5","3","2","5","5","5","5","6","6","5","6","5","5","5","6","5","5","5","5","5","5","6","5.33","5.33","5","5.33","5.25","1","","1","","4","4","3","4","4","4","4","2","4","4","2","3","4","5","5","4","3","4","4","1","4","4","5","4","4","5","2","4","4","4","1|2|3|4|5|6","1","1","1","1","1","1","0",""
"2024","25","id_pseqzbhb","anon_01K5DAQ4XV5PS80HT41Q23SWHG","2","40","3","2","2","4","2","6","","1","","2","5","5","11","","6","4","2","2","","3","2","2","2","3","4","2","2","2","5","3","5","5","5","5","5","5","6","5","5","6","6","6","5","5","5","6","6","5","5","2","4","3","4","3","3","5","5","4","6","3","3","5","4","5","6","6","5","4","5","3","4","3","3","4.67","5.67","4","3.33","4.42","1","","1","","4","2","1","1","5","4","2","4","4","4","2","4","4","3","2","2","4","4","4","1","2","4","2","4","4","4","4","4","4","2","5","0","0","0","0","1","0","0",""
"2024","26","id_6wymg0mj","anon_01K5DAQ4XVXVP18WZEJ8MF0VAN","2","40","3","1","1","4","9","6","","1","","3","5","5","1","","6","3","2","","4","2","3","3","2","3","6","4","4","5","6","5","3","4","6","4","2","3","2","2","1","4","3","5","4","3","6","5","5","5","6","3","5","5","5","4","4","3","5","4","5","5","5","5","5","5","4","5","4","5","5","5","5","4","3","5","4.33","5","4","4.58","1","","1","","2","1","3","4","4","4","2","1","4","5","3","4","4","4","3","4","4","3","4","1","3","5","5","2","4","3","2","2","2","3","2|4","0","1","0","1","0","0","0",""
"2024","27","id_82iqmr55","anon_01K5DAQ4XV6DG1BJA5R9S386G1","2","34","2","2","2","2","2","2","","2","","3","3","2","5","","6","2","3","","2","3","1","2","2","2","4","5","3","3","5","4","4","4","4","4","4","4","2","2","2","4","4","4","4","4","4","4","4","4","4","1","4","2","4","5","4","4","4","4","4","4","4","5","5","5","6","6","5","4","4","5","4","4","4","5","5.67","4.33","4","4.75","1","","1","","2","2","3","2","2","3","1","1","3","3","2","3","4","4","4","2","3","2","2","1","3","3","3","2","2","2","1","3","1","2","3|4|5|6","0","0","1","1","1","1","0",""
"2024","28","id_njgb9axu","anon_01K5DAQ4XV5MS90YMVFCSBX950","2","30","2","1","1","4","9","1","","3","","3","3","2","4","","2","4","4","","2","3","5","4","4","4","7","5","6","4","6","6","4","4","7","4","5","4","1","1","5","1","3","4","4","6","1","5","4","2","3","7","5","5","5","7","3","2","7","6","6","6","4","4","4","4","5","5","4","5","6","7","4","4","5","4","4.67","6","4.33","4.75","3","","1","","1","1","2","5","4","4","1","1","4","4","4","3","4","4","4","1","3","4","4","1","5","5","5","3","3","4","5","4","5","2","2|4|6","0","1","0","1","0","1","0",""
"2024","29","id_zm963jyd","anon_01K5DAQ4XV8MMNF54TXVR7CRDJ","2","43","3","1","1","3","9","7","","5","","3","3","2","1","","6","3","2","","2","3","3","2","2","2","5","5","5","5","5","5","5","5","5","5","5","5","5","5","4","4","5","3","5","4","3","3","5","5","3","3","3","5","3","5","4","4","3","4","3","5","3","3","5","3","4","3","3","3","4","5","5","5","5","3.67","3.33","4","5","4","1","","1","","2","3","2","4","2","3","2","2","1","2","3","3","2","3","2","2","3","3","2","1","2","3","2","3","3","3","2","3","2","3","2","0","1","0","0","0","0","0",""
"2024","30","id_xlnw2gzu","anon_01K5DAQ4XVKAV712DYVR0YFCEP","1","29","2","1","1","2","9","1","","1","","2","4","3","4","","6","3","3","4","","4","5","1","3","2","6","5","4","6","5","4","6","5","3","4","5","6","5","4","6","6","4","6","4","7","5","5","6","5","6","7","6","6","6","5","6","7","7","6","7","5","6","6","7","6","5","6","5","6","5","5","7","7","6","6.33","5.33","5.33","6.67","5.92","1","","1","","5","4","4","4","5","4","4","3","4","5","4","5","4","3","4","4","5","5","3","2","","","","","","","4","5","4","4","3|5|6","0","0","1","0","1","1","0",""
"2024","31","id_qudbeb11","anon_01K5DAQ4XV9RQ7YN9ZTKQB2DR4","1","26","1","1","1","2","9","6","","2","","3","3","2","2","","6","2","2","","4","4","4","3","4","5","5","6","6","5","4","5","3","4","5","3","3","5","4","5","5","5","6","6","2","5","2","2","2","2","3","5","5","6","6","5","6","5","5","6","5","6","6","6","6","6","5","6","5","7","6","5","6","5","5","6","5.33","6","5.33","5.67","3","","1","","4","5","4","4","4","4","5","4","4","3","4","4","4","3","4","5","4","4","5","1","4","5","4","4","4","5","3","4","4","4","1|4|5","1","0","0","1","1","0","0",""
"2024","32","id_f3qjqb28","anon_01K5DAQ4XV30R2HBS7NB6S52CZ","1","34","2","1","1","4","9","6","","1","","3","2","1","11","","6","4","4","","5","3","4","4","5","5","6","6","6","6","5","6","6","6","6","6","6","6","6","5","6","5","6","6","6","6","6","6","6","6","7","5","6","6","6","6","6","5","5","6","5","6","6","6","6","6","6","5","5","5","5","6","6","5","6","6","5.33","5.33","5.67","5.58","3","","2","","4","4","3","4","3","4","3","4","4","4","4","4","4","3","4","5","4","4","5","1","4","4","4","3","4","4","4","4","4","3","1|4","1","0","0","1","0","0","0",""
